,[C],,[kg],[mm],[N],[s],[s],[N/s],[N/s],[s],[kg],[m],[N],[m/s],[L0/s],[W],[W/kg],[% vmas],[% P0],,[J],[J/kg],[deg],[mm],[cm3],[cm2],[cm2],[N/cm2],,,,,
Individual,Temperature,P0 Trial Used,Body Mass,SVL,P0,timetoP50,timetoP90,average.rate,peak.rate,timetorelax50,muscle mass,L0,P0,vmax,L0vmax,peakpower,peakmspower,relvelpower,peakworkload,power ratio,peakwork,peakmswork,Angle,Circumference,Volume,CSA,pCSA,Stress,,,,,
Os093,20,3,0.004511,46.6,2.715446614,0.079,0.243,6.343361,18.700962,0.232,5.10E-05,0.02,2.715447,0.03311743,1.655871,0.01486801,291.5296,0.4339925,0.5925487,0.1822769,0.003731805,73.17265,24.1875,7.5,4.81E-02,2.41E-02,2.64E-02,1.03E+02,,,,,
Os103,20,12,0.00871,59.7,6.780609389,0.074,0.209,19.62619,45.16557,0.184,0.000157,0.0255,6.780609,0.0375344,1.471937,0.04150773,264.3804,0.4471631,0.531159,0.169922,0.007322143,46.63785,28.5625,10,1.48E-01,5.81E-02,6.61E-02,1.03E+02,,,,,
Os203,20,2,0.009193,61.9,7.504997635,0.082,0.237,20.31755,46.08245,0.201,0.00018,0.026,7.504998,0.0443397,1.705373,0.05123888,284.6604,0.4374118,0.5866624,0.1662165,0.01363398,75.74434,35.0625,10,1.70E-01,6.53E-02,7.98E-02,9.41E+01,,,,,
Os221,20,10,0.009057,58.5,5.652351931,0.062,0.187,18.4977,43.11684,0.228,0.000151,0.025,5.652352,0.04696489,1.878596,0.04178956,276.7521,0.4432465,0.5585385,0.1684337,0.00839144,55.57245,23.6875,8.5,1.42E-01,5.70E-02,6.22E-02,9.08E+01,,,,,
Os224,20,3,0.010533,60.7,6.661863416,0.076,0.237,17.75691,46.38058,0.226,0.000174,0.031,6.661863,0.04610724,1.48733,0.05423857,311.7159,0.4471876,0.55677,0.1744032,0.01237602,71.12655,21.125,11,1.64E-01,5.30E-02,5.68E-02,1.17E+02,,,,,
Os225,20,10,0.007636,54.2,4.65607272,0.06,0.222,11.83117,41.34575,0.22,0.00011,0.023,4.656073,0.04128863,1.795158,0.03099855,281.805,0.4357379,0.5550775,0.1655804,0.006850829,62.28026,24.1875,10,1.04E-01,4.51E-02,4.95E-02,9.41E+01,,,,,
Os235,20,3,0.014393,68.1,8.834697934,0.057,0.138,39.11598,84.3971,0.206,0.000257,0.028,8.834698,0.06235442,2.226944,0.08841314,344.02,0.4418803,0.3829742,0.1590769,0.0093603,36.4214,23.875,13,2.42E-01,8.66E-02,9.47E-02,9.33E+01,,,,,
Os236,20,3,0.016844,67.3,8.507895531,0.077,0.242,20.12425,56.0371,0.194,0.000228,0.031,8.507896,0.04914598,1.585354,0.06831587,299.631,0.4384211,0.53998,0.1666,0.01606968,70.48105,28.6875,11,2.15E-01,6.94E-02,7.91E-02,1.08E+02,,,,,
Os241,20,3,0.016127,67.5,9.510794446,0.079,0.244,24.12128,59.59557,0.243,0.00023,0.03,9.510794,0.04335742,1.445247,0.06295203,273.7045,0.4478838,0.5010867,0.1522805,0.01687781,73.38178,24.8125,14,2.17E-01,7.23E-02,7.97E-02,1.19E+02,,,,,
Os244,20,3,0.020601,73.5,10.57654233,0.068,0.181,34.52865,69.90561,0.209,0.00028,0.032,10.57654,0.04803865,1.501208,0.08368703,298.8823,0.4432903,0.5545797,0.1684503,0.01579321,56.40432,23.375,13.5,2.64E-01,8.25E-02,8.99E-02,1.18E+02,,,,,
Os255,20,3,0.001831,33.1,1.317614834,0.06,0.188,4.017799,10.418921,0.223,2.20E-05,0.0165,1.317615,0.02888624,1.750681,0.006432733,292.397,0.4312977,0.5768596,0.1983969,0.001389323,63.15103,25.1875,5,2.08E-02,1.26E-02,1.39E-02,9.48E+01,,,,,
Os260,20,2,0.003036,41.4,2.521616178,0.061,0.276,5.046937,22.186683,0.217,4.10E-05,0.0175,2.521616,0.02805183,1.602962,0.01405677,342.848,0.4326878,0.4507442,0.1990364,0.003371609,82.23438,31.125,7,3.87E-02,2.21E-02,2.58E-02,9.77E+01,,,,,
Os308,20,2,0.002339,37.57,2.288423218,0.068,0.209,6.971019,18.542019,0.246,3.20E-05,0.017,2.288423,0.035669,2.098177,0.01253814,391.8169,0.4369751,0.6006612,0.1660505,0.002808805,87.77517,28.375,8,3.02E-02,1.78E-02,2.02E-02,1.13E+02,,,,,
Os330,20,3,0.005804,51.48,5.437351691,0.077,0.239,13.49836,35.79657,0.168,1.00E-04,0.0225,5.437352,0.03960852,1.760379,0.03711966,371.1966,0.4411907,0.5726068,0.1764763,0.008511257,85.11257,25.875,10,9.43E-02,4.19E-02,4.66E-02,1.17E+02,,,,,
