Individual,musclemass,SVL,L0,P0,vmax,L0vmax,peakpower,peakmspower,relvelpower,powerratio,peakwork,peakmswork,bodymass,peakworkload
Os093,0.000051,4.66E+01,0.02,2.632,0.04568787,2.284393,0.01554027,304.7112,0.1820177,0.1292325,0.003569418,69.98859,4.511,0.6020725
Os103,0.000157,59.7,0.0255,5.76,0.0442291,1.734474,0.0412792,262.9248,0.2700533,0.162032,0.006661483,42.42983,8.71,0.6068841
Os203,0.00018,61.9,0.026,7.36,0.05165814,1.986852,0.04989248,277.1804,0.3364758,0.1312256,0.01362504,75.69465,9.193,0.5888704
Os224,0.000174,60.7,0.031,6.498,0.04594437,1.482076,0.05367937,308.5021,0.4495059,0.1798023,0.01199571,68.94086,10.533,0.5708103
Os221,0.000151,58.5,0.025,5.193,0.05709884,2.283954,0.04101256,271.6064,0.3216643,0.1383156,0.008214495,54.40063,9.057,0.6079446
Os225,0.00011,54.2,0.023,4.522,0.04770136,2.073972,0.02982158,271.1053,0.3736523,0.1382513,0.006797131,61.7921,7.636,0.5807533
Os244,0.00028,73.5,0.032,10.3426,0.06200391,1.937622,0.08199601,292.8429,0.1775871,0.1278627,0.01521798,54.34992,20.601,0.5671239
Os235,0.000257,68.1,0.028,8.6414,0.06516033,2.327155,0.08323047,323.854,0.3889837,0.1478138,0.009748648,37.93248,14.393,0.4097521
Os241,0.00023,67.5,0.03,9.283,0.04344525,1.448175,0.06272816,272.7311,0.4443896,0.1555364,0.01661627,72.24463,16.127,0.5133828
Os236,0.000228,67.3,0.031,8.319,0.05487237,1.770076,0.06638306,291.1538,0.3826915,0.1454228,0.01554453,68.17777,16.844,0.561445
Os260,0.000041,4.14E+01,0.0175,2.45,0.04622098,2.641199,0.01377999,336.0973,0.1622491,0.1216868,0.003287385,80.18013,3.036,0.4639199
Os255,0.000022,3.31E+01,0.0165,1.266,0.04774301,2.893516,0.008772526,398.7512,0.183719,0.145138,0.001342335,61.01521,1.831,0.6003781
Os308,0.000032,3.76E+01,0.017,2.218,0.04466775,2.627515,0.0120643,377.0093,0.1845026,0.1217717,0.002720312,85.00975,2.339,0.6197327
Os330,0.0001,5.15E+01,0.0225,5.28088,0.04131151,1.836067,0.03739972,373.9972,0.418126,0.1714317,0.008129286,81.29286,5.804,0.580361
Os331,0.000111,4.86E+01,0.0225,5.478,0.04269439,1.897528,0.03289893,296.3867,0.3349188,0.1406659,0.006399515,57.65328,5.984,0.5630791
Os332,0.000054,3.89E+01,0.018,2.76096,0.03044038,1.691132,0.01332133,246.6913,0.4661852,0.158503,0.002800951,51.86946,2.925,0.447947
Os333,0.000076,4.54E+01,0.019,4.106,0.04360015,2.294745,0.02284766,300.6271,0.1876834,0.1276247,0.003746727,49.29904,4.048,0.5348187
Os334,0.000019,3.02E+01,0.0135,1.056,0.0302325,2.239445,0.004243,223.3158,0.1845876,0.1329031,0.00080012,42.1116,1.351,0.6178124
Os348,1.20E-05,3.07E+01,0.015,1.5809,0.02341896,1.561264,0.005839536,486.628,0.4381309,0.1577271,0.001281988,106.8323,1.571,0.5411698
Os349,1.60E-05,3.16E+01,0.0145,1.344,0.02669819,1.841254,0.006094743,380.9214,0.4469827,0.1698534,0.001417581,88.5988,1.276,0.5514094
Os350,2.60E-05,3.48E+01,0.0165,1.96016,0.02914658,1.76646,0.009644672,370.9489,0.4442472,0.1688139,0.001764687,67.87259,2.062,0.4890763
Os351,2.70E-05,3.53E+01,0.0165,2.086,0.02873678,1.741623,0.009889088,366.2625,0.4341304,0.1649696,0.002185594,80.94794,2.285,0.5557577
Os353,8.40E-05,4.76E+01,0.021,4.3865,0.03529951,1.680929,0.02623108,312.2748,0.4458058,0.1694062,0.005334309,63.50368,5.146,0.5674034
